genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
CantonSMH,0-125M_24hr,fly04,14.0,0.4456521739130434,92,-0.108695652173913,0.108695652173913,after food
CantonSMH,0-125M_24hr,fly04,16.0,0.4527027027027027,148,-0.0945945945945946,0.0945945945945946,after food
CantonSMH,0-125M_24hr,fly04,17.0,0.3666666666666666,30,-0.2666666666666667,0.2666666666666667,after food
CantonSMH,0-125M_24hr,fly04,18.0,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly04,19.0,0.4457142857142857,175,-0.1085714285714285,0.1085714285714285,after food
CantonSMH,0-125M_24hr,fly04,20.0,0.4761904761904761,84,-0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_24hr,fly04,22.0,0.4541062801932367,207,-0.0917874396135265,0.0917874396135265,after food
CantonSMH,0-125M_24hr,fly04,23.0,0.6428571428571429,14,0.2857142857142858,0.2857142857142858,after food
CantonSMH,0-125M_24hr,fly04,24.0,0.5,100,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly04,25.0,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly04,26.0,0.4545454545454545,22,-0.0909090909090909,0.0909090909090909,after food
CantonSMH,0-125M_24hr,fly04,27.0,0.4444444444444444,27,-0.1111111111111111,0.1111111111111111,after food
CantonSMH,0-125M_24hr,fly04,28.0,0.5483870967741935,93,0.096774193548387,0.096774193548387,after food
CantonSMH,0-125M_24hr,fly04,29.0,0.547945205479452,73,0.095890410958904,0.095890410958904,after food
CantonSMH,0-125M_24hr,fly04,30.0,0.546875,320,0.09375,0.09375,after food
CantonSMH,0-125M_24hr,fly04,31.0,0.5256410256410257,156,0.0512820512820513,0.0512820512820513,after food
CantonSMH,0-125M_24hr,fly04,32.0,0.5247148288973384,263,0.0494296577946768,0.0494296577946768,after food
