,condition,flyid,loopN,loop_length,distance_patch_0,fed,normFed,deltaCFF,pathLengthDistanceRatio,maxDistBin_uneven,maxDistBin,deltaCFFBin,loopN_bin,loopN_binShort,loopN_binShort_num
20,sorbitol,fly02,21,15.85348290830142,5.469905378012694,60.12912399999775,0.045,0.0009568881878312674,2.898310265480543,"[3, 6)","[4, 8)","[0.0, 0.1)","[21, 25)","[19, 22)",6.0
21,sorbitol,fly02,22,43.96716923011974,15.180912972431969,60.429102999997724,0.045,-0.0008985242805646942,2.896213772515701,"[15, 20)","[12, 16)","[-0.1, 0.0)","[21, 25)","[22, 25)",7.0
22,sorbitol,fly02,23,5.96927431630735,3.514395088622532,66.02871099999763,0.049,0.009657670670305846,1.6985211297478247,"[3, 6)","[0, 4)","[0.0, 0.1)","[21, 25)","[22, 25)",7.0
23,sorbitol,fly02,24,3.728108913963563,3.161571031220836,67.39528199999779,0.05,-0.00017420930351585984,1.1791950511780718,"[3, 6)","[0, 4)","[-0.1, 0.0)","[21, 25)","[22, 25)",7.0
24,sorbitol,fly02,25,55.80825337649504,8.429923393705934,67.66192999999782,0.05,-0.00041071318494181885,6.6202562906044164,"[6, 9)","[8, 12)","[-0.1, 0.0)","[25, 29)","[25, 28)",8.0
25,sorbitol,fly02,26,3.6598144976515274,2.902583013672695,67.86191599999785,0.051,0.0006065369433892187,1.2608819387462387,"[0, 3)","[0, 4)","[0.0, 0.1)","[25, 29)","[25, 28)",8.0
26,sorbitol,fly02,27,28.685755771200284,9.49114109976301,68.12856399999788,0.051,0.01029360110287933,3.022371648432933,"[9, 12)","[8, 12)","[0.0, 0.1)","[25, 29)","[25, 28)",8.0
27,sorbitol,fly02,28,4.461015291590175,3.1664470964636755,95.59330800000117,0.071,0.04097985573383656,1.4088393570738282,"[3, 6)","[0, 4)","[0.0, 0.1)","[25, 29)","[28, 31)",9.0
28,sorbitol,fly02,29,2.00835105621976,2.5408607405083914,97.15986500000136,0.072,-0.000508838619931451,0.7904215387333337,"[0, 3)","[0, 4)","[-0.1, 0.0)","[29, 33)","[28, 31)",9.0
29,sorbitol,fly02,30,46.20409717039505,11.370979410599512,97.29318900000138,0.072,0.005874150059454103,4.063334872220918,"[9, 12)","[8, 12)","[0.0, 0.1)","[29, 33)","[28, 31)",9.0
